,酒店名称,酒店类型,位置信息,起价,评分,点评数,最低价
1056,哈尔滨辛胜快捷宾馆,经济型,近哈尔滨东站 · 工程大学/哈尔滨东站,¥121起,4.7,共156条评论,¥121
1057,哈尔滨宾鹏雅居酒店式公寓,经济型,近群力大道 · 群力新区,¥165起,5.0,共16条评论,¥165
1058,天天宾馆(哈尔滨东北林业大学店),经济型,近黑龙江中医药大学附属第一医院 · 江南大学城,¥173起,4.4,共50条评论,¥173
1059,哈尔滨轻呈精品公寓,经济型,近远大购物中心(群力店) · 群力新区,¥254起,4.8,共15条评论,¥254
1060,哈尔滨泊庭快捷宾馆(埃德蒙顿路凯德广场店),经济型,近凯德广场(埃德蒙顿路店) · 群力新区,¥150起,4.6,共10条评论,¥150
1061,哈尔滨泊庭快捷宾馆(埃德蒙顿路凯德广场店),经济型,近凯德广场(埃德蒙顿路店) · 群力新区,¥150起,4.6,共10条评论,¥150
1062,哈尔滨卓琳酒店,高档型,近气象台地铁站 · 哈东万达广场,¥470起,4.3,共41条评论,¥470
1063,哈尔滨双城金街商务酒店(北二道街店),经济型,近双城区第三中学 · 双城,¥70起,4.8,共145条评论,¥70
1064,路客家公寓(哈尔滨会展中心店),经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥287起,4.8,共77条评论,¥287
1065,哈尔滨钉宝宝电竞酒店,经济型,近哈西大街地铁站 · 哈西万达广场,¥444起,4.9,共825条评论,¥444
1066,哈尔滨锦程精品酒店,经济型,近哈尔滨科学技术职业学院 · 阿城商业区,¥164起,4.8,共186条评论,¥164
1067,哈尔滨沐心影音公寓(理工大学店),经济型,近黑龙江大学 · 江南大学城,¥294起,4.9,共86条评论,¥294
1068,惠客酒店(哈尔滨解放大街店),经济型,近印象城 · 阿城商业区,¥88起,4.8,共70条评论,¥88
1069,哈尔滨二姐家庭旅店,经济型,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥60起,4.8,共9条评论,¥60
1070,哈尔滨和盛宾馆,经济型,近哈尔滨站 · 道外巴洛克,¥188起,4.8,共12条评论,¥188
1071,浪漫鑫蓝主题宾馆(哈尔滨西站万达广场店),经济型,近金域蓝城3期深蓝杰座 · 哈西万达广场,¥169起,4.6,共24条评论,¥169
1072,盛和甄选·酒店公寓(哈尔滨金融学院店),经济型,近哈尔滨金融学院 · 龙塔/会展中心,¥365起,4.8,共46条评论,¥365
1073,哈尔滨不乏生活民宿,经济型,哈尔滨阿城区吉兴林场(金龙山景区附近),¥824起,4.8,共28条评论,¥824
1074,德翰酒店(哈尔滨冰雪大世界融创乐园店),经济型,近地中海阳光 · 冰雪大世界/太阳岛,¥256起,4.8,共39条评论,¥256
1075,旭日升快捷宾馆(哈尔滨阿城区印象城店),经济型,近印象城 · 阿城商业区,¥114起,4.7,共150条评论,¥114
1076,野莉民宿(北马路1号分店),,近中华巴洛克风情街 · 道外巴洛克,¥528起,4.6,共9条评论,¥528
1077,哈尔滨旺龙休闲宾馆松北商业大学冰雪大世界店,经济型,近哈尔滨商业大学(北校区) · 冰雪大世界/太阳岛,¥153起,4.1,共6条评论,¥153
1078,五叶草精品酒店(哈尔滨哈西万达广场店),舒适型,近万达广场(哈尔滨哈西店) · 哈西万达广场,¥409起,4.7,共71条评论,¥409
1079,哈尔滨龙嘉公寓,经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥195起,4.9,共30条评论,¥195
1080,哈尔滨斯堡莱登度假酒店,高档型,近银泰城 · 群力新区,¥817起,4.5,共188条评论,¥817
1081,哈尔滨斯堡莱登度假酒店,高档型,近银泰城 · 群力新区,¥817起,4.5,共188条评论,¥817
1082,鑫苑宾馆(哈尔滨福园店),经济型,近民生尚都 · 群力新区,¥53起,4.9,共7条评论,¥53
1083,暖居民宿(哈尔滨冰雪大世界融创乐园店),经济型,近地中海阳光 · 冰雪大世界/太阳岛,¥378起,4.8,共31条评论,¥378
1084,哈尔滨盛鑫源商务酒店,舒适型,近哈尔滨铁道职业技术学院 · 平房区政府,¥231起,4.8,共7条评论,¥231
1085,哈尔滨鸿源假日宾馆,经济型,近先富小学校 · 太平国际机场地区,¥255起,5.0,共109条评论,¥255
1086,哈尔滨双君旅店,,近工人文化宫地铁站 · 哈尔滨站/果戈里商业区/医大一院,¥71起,4.3,共8条评论,¥71
1087,小欢喜哈尔滨公寓(长江路2号分店),,近哈尔滨国际会展中心 · 龙塔/会展中心,¥202起,4.8,共31条评论,¥202
1088,爱情公寓(哈尔滨万达城店),经济型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥270起,4.9,共58条评论,¥270
1089,易居宾馆(哈尔滨中央大街地铁站店),舒适型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥396起,4.7,共87条评论,¥396
1090,哈尔滨途家公寓,经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥179起,4.7,共5条评论,¥179
1091,兄弟宾馆(哈尔滨哈东站地铁站店),经济型,近哈尔滨东站 · 工程大学/哈尔滨东站,¥132起,4.5,共56条评论,¥132
1092,哈尔滨红秀旅店(医大二院店),,近哈尔滨医科大学附属第二医院 · 医大二院/哈南站,¥126起,4.9,共46条评论,¥126
1093,蓝梦公寓(黑龙江大学哈尔滨学院店),经济型,近哈尔滨医科大学 · 江南大学城,¥96起,4.9,共28条评论,¥96
1094,哈尔滨华清池酒店,舒适型,近建国公园 · 群力新区,¥692起,4.6,共5条评论,¥692
1095,哈尔滨喜洋洋家庭公寓,经济型,近哈尔滨医科大学附属肿瘤医院 · 乐松广场/东北林业大学/香坊商业区,¥68起,4.8,共6条评论,¥68
1096,哈尔滨凯旋优品民宿,经济型,近东北林业大学 · 江南大学城,¥220起,4.6,共10条评论,¥220
1097,哈尔滨晶鑫公寓,经济型,近哈尔滨国际会展中心 · 龙塔/会展中心,¥243起,4.8,共25条评论,¥243
1098,哈尔滨宾悦酒店,,近珠江路地铁站 · 龙塔/会展中心,¥519起,4.7,共54条评论,¥519
1099,新宇航宾馆(哈尔滨太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥273起,4.9,共122条评论,¥273
1100,哈尔滨都市春天快捷宾馆,经济型,近中华巴洛克风情街 · 道外巴洛克,¥182起,4.6,共22条评论,¥182
1101,哈尔滨鑫越家庭民宿,,近哈尔滨西站 · 哈西万达广场,¥53起,4.8,共8条评论,¥53
1102,哈尔滨晨光宾馆,经济型,近江北大学城地铁站 · 江北大学城,¥121起,4.7,共117条评论,¥121
1103,哈尔滨双城Perfect柏悦·素电竞公寓,经济型,近双城区第三中学 · 双城,¥233起,4.9,共242条评论,¥233
1104,哈尔滨德翰公寓(贝肯山店),经济型,近银泰城 · 群力新区,¥376起,4.9,共23条评论,¥376
1105,赛博电竞酒店,经济型,近印象城 · 阿城商业区,¥213起,5.0,共15条评论,¥213
1106,哈尔滨超感觉主题宾馆,,近江北大学城地铁站 · 江北大学城,¥132起,4.8,共32条评论,¥132
1107,IDO主题公寓(哈西万达广场店),经济型,近哈西万达广场 · 哈西万达广场,¥441起,4.8,共8条评论,¥441
1108,巨蟹座索菲亚店民宿(田地街分店),,近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔,¥654起,4.7,共18条评论,¥654
1109,哈尔滨万顺公寓,,近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院,¥205起,4.8,共15条评论,¥205
1110,哈尔滨欣时代快捷宾馆,经济型,近哈尔滨西站 · 哈西万达广场,¥131起,4.6,共26条评论,¥131
1111,哈尔滨广霞快捷宾馆,经济型,近世茂大道地铁站 · 冰雪大世界/太阳岛,¥100起,5.0,共6条评论,¥100
1112,汇东时尚宾馆(哈尔滨火车站店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥80起,4.8,共15条评论,¥80
1113,凤凰佳期快捷宾馆(哈尔滨火车站店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥204起,4.5,共73条评论,¥204
1114,理想家庭主题公寓(新阳路分店),,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥325起,4.8,共8条评论,¥325
1115,星荟民宿,经济型,近黑龙江省纪检监察干部学院 · 冰雪大世界/太阳岛,¥244起,4.9,共12条评论,¥244
1116,哈尔滨都市驿站公寓,经济型,近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院,¥234起,4.6,共43条评论,¥234
1117,CitySnug城市旅舍客栈(公滨路分店),,近珠江路地铁站 · 龙塔/会展中心,¥268起,4.8,共9条评论,¥268
1118,双福旅店(哈尔滨东站店),经济型,近哈尔滨东站 · 工程大学/哈尔滨东站,¥43起,4.5,共34条评论,¥43
1119,情侣猫精宿公寓(景阳街4号分店),经济型,近中华巴洛克风情街 · 道外巴洛克,¥442起,4.8,共65条评论,¥442
1120,哈尔滨鑫苑快捷宾馆,经济型,近群力第五大道地铁站 · 群力新区,¥121起,5.0,共8条评论,¥121
1121,好来屋旅馆(哈尔滨卓展店),,近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥203起,4.8,共86条评论,¥203
1122,希岸美宿客栈(黑龙江大学医大三院店),经济型,近哈尔滨医科大学附属肿瘤医院 · 江南大学城,¥244起,4.9,共55条评论,¥244
1123,哈尔滨美日顺公寓,,近黑龙江中医药大学附属第一医院 · 乐松广场/东北林业大学/香坊商业区,¥247起,4.8,共49条评论,¥247
1124,广信木子公寓(东北亚大街5号分店),,近富力城 · 冰雪大世界/太阳岛,¥189起,4.7,共27条评论,¥189
1125,元初寒舍寒舍酒店式公寓(机场路分店),,近群力家园 · 群力新区,¥193起,4.9,共76条评论,¥193
1126,云朵拾光主题公寓,经济型,近黑龙江大学 · 江南大学城,¥212起,4.7,共6条评论,¥212
1127,麦凯乐公寓(哈尔滨兆麟街店),经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥774起,4.8,共126条评论,¥774
1128,哈尔滨稻草人精品公寓,经济型,近万达滑雪场 · 冰雪大世界/太阳岛,¥172起,4.8,共9条评论,¥172
1129,哈西公寓爱达壹号极简轻奢公寓民宿(哈西大街分店),,近哈西大街地铁站 · 哈西万达广场,¥306起,5.0,共14条评论,¥306
1130,哈尔滨鑫豪特宾馆,,近省医院地铁站 · 龙塔/会展中心,¥179起,4.7,共43条评论,¥179
1131,哈尔滨百合宾馆,经济型,近江北大学城地铁站 · 江北大学城,¥91起,4.7,共29条评论,¥91
1132,哈尔滨万达宜宣公寓,经济型,近省医院地铁站 · 龙塔/会展中心,¥254起,4.8,共8条评论,¥254
1133,守候幸福民宿(哈尔滨志华商城店),经济型,近江北大学城地铁站 · 江北大学城,¥49起,4.9,共7条评论,¥49
1134,尚客优酒店(哈尔滨冰雪大世界店),经济型,近哈尔滨松北万象汇 · 冰雪大世界/太阳岛,¥188起,4.3,共48条评论,¥188
1135,哈尔滨心悦宾馆,,近黑龙江省政府 · 江南大学城,¥192起,4.9,共70条评论,¥192
1136,佳爱快捷旅馆(哈尔滨火车站店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥80起,4.7,共69条评论,¥80
1137,联发招待所,经济型,近哈尔滨医科大学附属第一医院 · 工程大学/哈尔滨东站,¥84起,4.7,共10条评论,¥84
1138,哈尔滨悦兴假日公寓,经济型,近万达广场(哈东店) · 哈东万达广场,¥175起,4.9,共52条评论,¥175
1139,哈尔滨今生缘酒店式公寓,经济型,近黑龙江大学 · 江南大学城,¥138起,4.7,共22条评论,¥138
1140,哈尔滨大语公寓,经济型,近医大二院地铁站 · 江南大学城,¥266起,5.0,共7条评论,¥266
1141,云闪电竞公寓(哈尔滨理工大学店),经济型,近黑龙江大学 · 江南大学城,¥338起,4.9,共44条评论,¥338
1142,鸿泰宾馆(哈尔滨太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥187起,4.7,共367条评论,¥187
1143,哈尔滨禹瑶快捷宾馆,经济型,近融创茂(哈尔滨店) · 冰雪大世界/太阳岛,¥121起,4.9,共65条评论,¥121
1144,昌龍宾馆(哈尔滨江北大学城店),,近江北大学城地铁站 · 江北大学城,¥56起,4.4,共37条评论,¥56
1145,哈尔滨北药酒店,经济型,近金域蓝城3期深蓝杰座 · 哈西万达广场,¥223起,4.7,共34条评论,¥223
1146,哈尔滨天赐源旅馆,经济型,近机场路/工农大街(路口) · 哈西万达广场,¥128起,4.9,共18条评论,¥128
1147,明屿宾馆(哈尔滨哈西万达广场店),经济型,近哈尔滨西站 · 哈西万达广场,¥103起,4.6,共126条评论,¥103
1148,哈尔滨鑫都旅馆,经济型,近哈尔滨商业大学(北校区) · 冰雪大世界/太阳岛,¥147起,4.9,共32条评论,¥147
1149,哈尔滨春熙快捷宾馆,经济型,近中华巴洛克街区地铁站 · 道外巴洛克,¥192起,4.9,共23条评论,¥192
1150,哈尔滨金京大厦宾馆(阿城客运站店),,近体育馆 · 阿城商业区,¥142起,4.7,共98条评论,¥142
1151,哈尔滨星月宾馆(火车东站店),,近黑龙江工程学院 · 工程大学/哈尔滨东站,¥205起,4.7,共41条评论,¥205
1152,哈尔滨如果宾馆,,近哈尔滨医科大学附属肿瘤医院 · 江南大学城,¥174起,4.8,共47条评论,¥174
1153,华驿精选酒店(哈尔滨中央大街富力江湾店),三星级,近爱建路 · 中央大街/索菲亚大教堂/防洪纪念塔,¥358起,4.5,共109条评论,¥358
1154,巨幕影酒店(哈尔滨群力店),经济型,近民生尚都 · 群力新区,¥172起,4.7,共58条评论,¥172
1155,迦南宾馆(哈尔滨西站工农大街地铁站店),,近哈尔滨医科大学附属第一医院(群力院区) · 群力新区,¥282起,4.5,共43条评论,¥282
1156,哈尔滨南岗华凯旅馆,经济型,近哈尔滨工业大学 · 江南大学城,¥68起,4.3,共17条评论,¥68
1157,哈尔滨拾光里公寓,经济型,近黑龙江大学 · 江南大学城,¥274起,4.9,共10条评论,¥274
1158,小刁家的民宿(恒大国际中心店),经济型,近远大购物中心(群力店) · 群力新区,¥408起,4.9,共29条评论,¥408
1159,富金时尚旅馆(哈尔滨火车站店),经济型,近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院,¥52起,4.6,共97条评论,¥52
1160,哈尔滨凯旋七号公馆,经济型,近东北林业大学 · 江南大学城,¥282起,4.6,共33条评论,¥282
1161,泰元酒店,经济型,近金泰 · 阿城商业区,¥80起,4.7,共15条评论,¥80
1162,哈尔滨尚金快捷宾馆,经济型,近圣索菲亚教堂 · 道外巴洛克,¥225起,4.7,共13条评论,¥225
1163,哈尔滨三合商务宾馆,经济型,近香坊站 · 乐松广场/东北林业大学/香坊商业区,¥141起,4.7,共41条评论,¥141
1164,汐悦精品哈市销量TOP1)民宿(太古街分店),,近中华巴洛克风情街 · 道外巴洛克,¥578起,4.9,共44条评论,¥578
1165,哈尔滨白云宾馆,经济型,近先富小学校 · 太平国际机场地区,¥266起,4.9,共599条评论,¥266
1166,哈尔滨魔力电竞日租公寓,经济型,近哈西万达广场 · 哈西万达广场,¥479起,4.8,共36条评论,¥479
1167,哈尔滨后海宾馆,经济型,近黑龙江农垦职业学院 · 江北大学城,¥64起,4.5,共70条评论,¥64
1168,哈尔滨天汇旅馆,经济型,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥162起,4.0,共13条评论,¥162
1169,哈尔滨中维新天地宾馆,经济型,近会展中心地铁站 · 龙塔/会展中心,¥427起,4.9,共25条评论,¥427
1170,鑫帆快捷宾馆,经济型,近哈尔滨工业大学 · 江南大学城,¥211起,4.7,共5条评论,¥211
1171,哈尔滨岩朵民宿(金融学院店),经济型,近哈尔滨金融学院 · 龙塔/会展中心,¥271起,4.9,共24条评论,¥271
1172,哈尔滨香坊区旭昇旅店,经济型,近省医院地铁站 · 龙塔/会展中心,¥46起,4.7,共36条评论,¥46
1173,悠冉公寓(哈尔滨西站店),经济型,近哈尔滨西站 · 哈西万达广场,¥240起,4.9,共27条评论,¥240
1174,芭乐宾馆(肿瘤医院店),经济型,近哈尔滨医科大学附属肿瘤医院 · 江南大学城,¥87起,4.9,共888条评论,¥87
1175,华宇宾馆(哈尔滨太平国际机场店),经济型,近先富小学校 · 太平国际机场地区,¥126起,4.9,共42条评论,¥126
1176,华利尔快捷宾馆,经济型,近宜家生活超市 · 工程大学/哈尔滨东站,¥135起,4.7,共19条评论,¥135
1177,大盛日租公寓(哈尔滨哈西店),经济型,近哈西万达广场 · 哈西万达广场,¥233起,4.8,共189条评论,¥233
1178,哈尔滨金沙宾馆(工程大学店),经济型,近哈尔滨东站 · 工程大学/哈尔滨东站,¥134起,4.5,共68条评论,¥134
1179,在路上日租民宿(尚志大街分店),,近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔,¥513起,4.9,共132条评论,¥513
1180,哈尔滨8090时钟旅馆,经济型,近珠江路地铁站 · 龙塔/会展中心,¥80起,4.6,共9条评论,¥80
1181,乐居快捷宾馆(医大三院店),,近哈尔滨医科大学附属肿瘤医院 · 乐松广场/东北林业大学/香坊商业区,¥152起,4.9,共135条评论,¥152
1182,哈尔滨双龙时尚快捷旅馆,,近哈尔滨医科大学附属肿瘤医院 · 乐松广场/东北林业大学/香坊商业区,¥111起,4.1,共9条评论,¥111
1183,季末假日公寓(哈西万达店),经济型,近哈西大街地铁站 · 哈西万达广场,¥337起,5.0,共8条评论,¥337
1184,尤丽娅俄式公馆(哈尔滨火车站博物馆地铁站店),经济型,近哈尔滨医科大学附属第一医院 · 哈尔滨站/果戈里商业区/医大一院,¥2198起,4.9,共177条评论,¥2198
1185,哈尔滨韵江快捷宾馆,,近哈尔滨松北万象汇 · 冰雪大世界/太阳岛,¥279起,4.8,共33条评论,¥279
